employee_id;nationality_group;native_language;is_expat_migrant;relocated_for_job;department;job_level;salary;hire_date;last_promotion_date;performance_rating;manager_id;team_size;inclusion_score;belonging_index;manager_inclusion_score;attrition;voluntary_exit;exit_reason
E0081;Lusophone Europe;Portuguese;0;0;IT;2;37450;04/04/2020;;3;M018;12;406;38;32;1;0;Performance
E0082;Southern Europe;Spanish;0;0;Operations;2;37957;18/11/2023;;1;M037;6;381;326;391;0;;
E0083;Lusophone Americas;Portuguese;0;0;Sales;5;80391;31/03/2022;16/02/2024;4;M029;11;321;286;312;0;;
E0084;Anglophone Americas;English;0;0;IT;2;37175;04/04/2021;;3;M047;12;379;363;308;0;;
E0085;Lusophone Americas;Portuguese;1;1;IT;2;37331;22/06/2018;;4;M022;5;275;19;335;0;;
E0086;Lusophone Europe;Portuguese;0;0;Human Resources;2;35083;27/05/2017;11/03/2022;3;M015;5;274;263;375;0;;
E0087;Lusophone Europe;Portuguese;0;0;Operations;1;27171;26/10/2016;12/03/2021;4;M011;10;396;365;315;0;;
E0088;Central Europe;Polish;1;1;Finance;4;65257;25/05/2021;;3;M019;9;17;117;339;1;10;Lack of Growth
E0089;Southern Europe;Spanish;0;0;Sales;2;33688;14/10/2020;;3;M049;5;315;359;372;0;;
E0090;Francophone Europe;French;0;0;Human Resources;2;35573;12/03/2019;22/02/2020;3;M002;8;393;414;3;0;;
E0091;Southern Europe;Spanish;1;0;Finance;3;49106;12/01/2020;;5;M002;7;306;295;404;0;;
E0092;Southern Europe;Spanish;1;1;Finance;3;43212;09/08/2020;;1;M033;12;275;248;368;0;;
E0093;Lusophone Europe;Portuguese;0;0;Research & Development;3;46828;17/01/2019;27/06/2022;3;M033;11;451;415;388;0;;
E0094;Central Europe;Polish;0;0;Sales;1;28184;29/02/2016;;4;M022;5;343;351;357;0;;
E0095;Lusophone Americas;Portuguese;0;0;Finance;3;52534;16/09/2015;;5;M003;7;377;398;373;0;;
E0096;Anglophone Americas;English;1;1;Research & Development;1;24486;09/05/2022;17/07/2023;4;M028;9;291;259;234;0;;
E0097;Other;Other;1;1;Operations;1;22639;30/10/2019;;4;M035;7;266;252;317;0;;
E0098;Anglophone Americas;English;1;1;Sales;3;51312;16/11/2023;;2;M041;9;284;215;408;0;;
E0099;Other;Mandarin;0;0;IT;3;41574;03/10/2015;12/11/2019;3;M025;12;333;304;294;0;;
E0100;Lusophone Americas;Portuguese;1;1;IT;1;22570;01/02/2017;;3;M036;4;335;299;379;0;;
E0101;Other;Hindi;1;0;Research & Development;1;23942;31/12/2022;;2;M044;8;236;165;301;1;10;Inclusion Issues
E0102;Central Europe;German;0;0;Operations;1;30322;19/11/2023;04/10/2025;1;M036;12;317;242;406;0;;
E0103;Lusophone Europe;Portuguese;1;1;IT;3;52122;12/06/2021;19/09/2023;4;M029;10;3;241;403;0;;
E0104;Francophone Europe;French;1;0;Human Resources;4;60268;25/10/2016;14/04/2021;3;M034;7;26;249;309;0;;
E0105;Lusophone Europe;Portuguese;0;0;Operations;2;38023;21/11/2016;;3;M011;12;337;256;375;0;;
E0106;Lusophone Americas;Portuguese;0;0;Operations;1;24493;01/06/2021;;4;M032;11;296;245;461;0;;
E0107;Southern Europe;Greek;1;1;IT;1;25597;15/04/2017;02/08/2018;3;M046;8;29;192;366;1;10;Better Opportunity
E0108;Lusophone Europe;Portuguese;0;0;Research & Development;1;26590;23/04/2019;;3;M011;8;346;363;308;0;;
E0109;Lusophone Americas;Portuguese;1;1;Human Resources;1;24319;13/09/2017;03/03/2020;1;M019;10;241;178;321;1;10;Better Opportunity
E0110;Francophone Europe;French;0;0;Sales;1;23984;20/04/2021;23/11/2024;3;M025;11;314;241;359;0;;
E0111;Lusophone Europe;Portuguese;1;1;Sales;3;53474;20/06/2023;24/08/2025;3;M033;3;346;317;312;0;;
E0112;Lusophone Europe;Portuguese;0;0;Operations;2;37023;30/11/2021;;3;M022;11;399;379;286;0;;
E0113;Francophone Europe;French;1;1;Finance;3;50399;19/09/2022;;3;M017;12;249;198;314;0;;
E0114;Lusophone Europe;Portuguese;1;1;Human Resources;2;33492;12/12/2019;15/04/2021;3;M014;9;305;226;339;0;;
E0115;Southern Europe;Greek;1;1;Research & Development;2;35931;24/03/2019;08/09/2020;3;M035;8;228;19;391;0;;
E0116;Francophone Europe;French;1;1;Operations;1;28986;25/08/2023;20/09/2024;4;M032;8;264;193;348;0;;
E0117;Central Europe;Polish;1;1;Finance;4;61040;02/09/2023;;3;M019;4;269;273;338;1;10;Relocation
E0118;Central Europe;German;1;1;Research & Development;1;25999;26/02/2022;18/03/2023;3;M046;10;357;37;391;1;10;Relocation
E0119;Anglophone Americas;English;1;1;Sales;2;40374;02/01/2016;;3;M048;3;347;301;363;0;;
E0120;Other;Other;1;1;IT;5;90020;07/02/2015;22/12/2018;2;M022;7;254;181;36;0;;
E0121;Southern Europe;Spanish;0;0;Finance;1;29473;16/09/2018;09/10/2021;4;M046;5;375;34;319;0;;
E0122;Lusophone Europe;Portuguese;0;0;Operations;2;37095;26/01/2016;07/05/2017;3;M016;3;422;378;377;0;;
E0123;Other;Hindi;1;1;Sales;3;39853;29/04/2016;;2;M044;11;368;297;35;0;;
E0124;Other;Hindi;1;1;Research & Development;2;35816;11/03/2019;;3;M031;11;199;2;251;0;;
E0125;Central Europe;Czech;0;0;Human Resources;2;37109;21/01/2019;17/09/2022;2;M036;11;348;355;39;0;;
E0126;Central Europe;Czech;0;0;Human Resources;4;67011;16/08/2015;;3;M030;12;414;409;36;0;;
E0127;Central Europe;Polish;1;1;Research & Development;2;32387;19/09/2015;;2;M005;10;35;322;35;0;;
E0128;Lusophone Europe;Portuguese;0;0;Finance;2;41804;27/03/2019;;4;M043;11;265;285;414;1;0;Performance
E0129;Lusophone Americas;Portuguese;0;0;Human Resources;5;88507;24/01/2023;;3;M015;6;322;295;378;0;;
E0130;Lusophone Americas;Portuguese;1;0;Human Resources;1;24599;03/01/2020;;4;M004;6;414;37;289;1;10;Inclusion Issues
E0131;Lusophone Americas;Portuguese;1;0;Operations;2;35185;06/08/2018;01/01/2024;2;M043;11;328;324;453;0;;
E0132;Other;Other;1;1;Sales;5;86822;29/07/2018;;3;M020;9;321;306;397;1;10;Inclusion Issues
E0133;Lusophone Americas;Portuguese;0;0;Operations;2;35004;10/12/2020;18/10/2022;3;M022;4;436;361;407;0;;
E0134;Francophone Europe;French;0;0;Research & Development;4;68612;13/07/2022;;3;M022;7;394;361;338;0;;
E0135;Other;Arabic;1;1;Research & Development;3;43458;07/09/2017;;4;M025;10;229;199;336;1;10;Relocation
E0136;Lusophone Europe;Portuguese;0;0;Sales;2;33856;25/06/2017;;1;M036;12;41;337;315;1;10;Lack of Growth
E0137;Southern Europe;Italian;0;0;IT;2;39593;24/06/2020;;4;M032;10;374;391;379;0;;
E0138;Other;Arabic;1;1;Human Resources;5;86386;17/08/2019;27/08/2023;3;M046;5;345;352;343;0;;
E0139;Lusophone Europe;Portuguese;0;0;Human Resources;1;28347;18/02/2015;04/09/2019;3;M019;3;273;245;233;1;0;Restructuring
E0140;Francophone Europe;French;0;0;Sales;3;44876;22/07/2019;;3;M045;6;4;34;429;1;0;Restructuring
E0141;Lusophone Americas;Portuguese;1;1;Human Resources;3;41880;13/11/2019;;3;M007;11;352;304;402;0;;
E0142;Francophone Europe;French;0;0;Sales;4;68224;15/05/2015;17/08/2020;3;M014;12;305;315;413;0;;
E0143;Other;Hindi;1;1;Finance;3;42876;18/04/2023;19/09/2025;4;M033;8;326;306;364;0;;
E0144;Other;Other;0;0;Sales;1;23829;20/01/2020;;3;M025;9;266;258;401;0;;
E0145;Southern Europe;Italian;0;0;IT;1;25911;06/04/2019;;4;M048;9;32;303;383;0;;
E0146;Francophone Europe;French;1;1;Operations;2;30213;20/12/2018;;3;M021;9;321;325;344;0;;
E0147;Central Europe;Czech;0;0;Research & Development;2;33936;09/04/2019;08/04/2021;3;M032;5;379;356;289;1;10;Better Opportunity
E0148;Lusophone Europe;Portuguese;0;0;Research & Development;2;42093;22/09/2018;;3;M022;10;377;307;419;0;;
E0149;Other;Mandarin;1;1;IT;1;26016;31/07/2018;20/12/2022;4;M037;6;256;256;351;0;;
E0150;Francophone Europe;French;0;0;Operations;1;28345;11/12/2022;25/01/2025;4;M005;9;304;265;316;0;;
E0151;Francophone Europe;French;0;0;Finance;1;30045;16/05/2020;;3;M045;9;265;222;273;0;;
E0152;Lusophone Europe;Portuguese;1;1;IT;2;32111;27/03/2022;;3;M049;8;402;398;329;1;10;Lack of Growth
E0153;Lusophone Europe;Portuguese;0;0;Finance;2;39637;29/09/2022;;3;M002;10;391;374;364;0;;
E0154;Lusophone Americas;Portuguese;1;1;Operations;2;33028;24/10/2022;;2;M003;4;314;314;346;1;0;Contract End
E0155;Central Europe;Czech;1;1;Operations;2;37034;23/01/2022;22/02/2026;4;M026;3;292;191;29;1;10;Better Opportunity
E0156;Central Europe;German;0;0;Operations;1;26025;18/02/2020;20/05/2024;4;M034;8;347;273;301;0;;
E0157;Anglophone Americas;English;0;0;IT;3;50461;21/11/2021;;4;M021;4;352;334;321;0;;
E0158;Lusophone Europe;Portuguese;0;0;Finance;3;54414;27/03/2022;;2;M011;10;37;328;371;0;;
E0159;Lusophone Europe;Portuguese;0;0;Finance;1;30118;19/04/2021;;3;M044;10;267;274;319;1;0;Performance
E0160;Francophone Europe;French;1;1;IT;3;47032;03/06/2021;05/04/2026;3;M024;11;321;293;327;0;;
E0161;Lusophone Europe;Portuguese;1;1;Research & Development;1;26831;28/11/2018;;2;M008;6;34;361;303;0;;
E0162;Anglophone Americas;English;0;0;Research & Development;4;72600;20/12/2020;25/06/2024;2;M046;7;258;225;378;0;;
E0163;Other;Arabic;1;1;Finance;4;66462;03/06/2016;;2;M010;8;315;231;314;0;;
E0164;Francophone Europe;French;1;1;Human Resources;2;36465;20/02/2019;;3;M038;3;268;287;269;1;0;Restructuring
E0165;Central Europe;German;0;0;Finance;1;26701;17/05/2017;;3;M019;8;305;269;393;0;;
E0166;Central Europe;German;1;1;Finance;1;24077;13/02/2020;25/12/2025;3;M045;5;23;229;311;0;;
E0167;Southern Europe;Spanish;0;0;Sales;1;28523;11/04/2022;27/12/2024;4;M047;6;31;286;369;1;10;Lack of Growth
E0168;Anglophone Americas;English;0;0;Human Resources;5;95093;25/06/2016;;3;M006;4;37;36;369;0;;
E0169;Anglophone Americas;English;0;0;IT;1;28769;04/02/2015;;2;M023;6;33;283;275;0;;
E0170;Lusophone Americas;Portuguese;1;1;IT;2;33030;26/07/2016;03/09/2020;2;M036;12;36;285;3;0;;
E0171;Central Europe;Czech;0;0;Research & Development;2;36944;22/05/2023;;4;M016;10;302;289;328;0;;
E0172;Lusophone Americas;Portuguese;0;0;Research & Development;2;38625;20/09/2019;;4;M049;10;335;359;316;1;10;Better Opportunity
E0173;Lusophone Americas;Portuguese;0;0;Finance;2;36822;14/08/2020;;3;M026;4;311;246;352;1;0;Contract End
E0174;Lusophone Americas;Portuguese;1;1;IT;3;46804;09/03/2023;;3;M016;4;337;319;329;0;;
E0175;Lusophone Americas;Portuguese;1;1;IT;1;23825;19/10/2020;;4;M011;8;381;387;328;0;;
E0176;Lusophone Americas;Portuguese;1;1;IT;5;84547;23/09/2020;;3;M037;5;424;363;368;1;10;Inclusion Issues
E0177;Francophone Europe;French;1;0;Research & Development;1;27574;03/01/2017;;4;M036;9;326;32;378;0;;
E0178;Lusophone Europe;Portuguese;0;0;Human Resources;1;30045;08/07/2015;;2;M030;7;328;3;297;1;10;Lack of Growth
E0179;Francophone Europe;French;0;0;Research & Development;2;37282;13/07/2020;;4;M047;11;352;291;391;0;;
E0180;Anglophone Americas;English;0;0;Human Resources;3;51465;12/04/2023;;2;M034;6;352;239;402;0;;
E0181;Lusophone Americas;Portuguese;1;0;Operations;2;34081;22/05/2023;23/02/2024;3;M041;9;378;361;222;1;10;Better Opportunity
E0182;Southern Europe;Greek;0;0;Sales;2;35201;02/11/2015;;2;M050;12;381;356;355;0;;
E0183;Francophone Europe;French;1;0;Research & Development;2;37105;06/01/2016;09/05/2020;3;M046;12;412;387;33;0;;
E0184;Anglophone Americas;English;0;0;Sales;4;65811;15/07/2019;;3;M036;6;369;346;353;0;;
E0185;Lusophone Americas;Portuguese;0;0;Research & Development;1;28364;05/03/2019;;5;M006;12;254;188;493;1;10;Inclusion Issues
E0186;Lusophone Americas;Portuguese;1;0;Human Resources;1;26776;06/06/2019;;3;M028;5;398;312;427;0;;
E0187;Anglophone Americas;English;1;1;Research & Development;3;54434;16/05/2020;07/06/2022;3;M027;6;264;189;341;0;;
E0188;Lusophone Americas;Portuguese;0;0;Sales;2;38132;10/11/2018;;3;M025;7;5;463;38;0;;
E0189;Southern Europe;Italian;1;0;Operations;2;32936;15/10/2016;18/12/2020;3;M035;3;311;195;213;0;;
E0190;Other;Mandarin;1;1;IT;3;40041;09/11/2022;;3;M010;12;21;252;31;0;;
E0191;Other;Hindi;1;1;Human Resources;1;23410;03/01/2015;10/12/2018;3;M009;8;252;15;365;1;10;Relocation
E0192;Southern Europe;Greek;0;0;Human Resources;2;41189;09/06/2019;;3;M021;5;293;32;328;0;;
E0193;Lusophone Europe;Portuguese;0;0;Research & Development;3;52773;18/11/2021;;3;M038;5;291;301;331;1;10;Lack of Growth
E0194;Southern Europe;Greek;1;1;Operations;1;28616;30/07/2016;04/07/2017;3;M021;5;33;238;243;0;;
E0195;Central Europe;Czech;0;0;Finance;1;25267;10/10/2022;14/09/2024;4;M047;3;381;354;314;0;;
E0196;Southern Europe;Italian;0;0;Human Resources;4;73353;25/06/2021;;4;M011;10;345;371;383;0;;
E0197;Francophone Europe;French;1;1;Finance;1;27188;17/01/2016;23/12/2019;4;M046;3;254;25;298;1;10;Relocation
E0198;Anglophone Americas;English;0;0;Sales;1;25473;30/05/2021;;3;M004;8;317;3;341;0;;
E0199;Lusophone Europe;Portuguese;1;1;Research & Development;3;50048;18/04/2016;07/01/2019;3;M043;7;373;359;381;0;;
E0200;Anglophone Americas;English;1;1;Sales;2;37302;01/02/2016;04/07/2018;4;M027;12;416;376;358;0;;
E0201;Lusophone Europe;Portuguese;0;0;Research & Development;2;34160;04/01/2023;26/05/2026;4;M044;12;423;449;224;1;10;Better Opportunity
E0202;Lusophone Americas;Portuguese;0;0;Finance;1;28357;28/08/2016;;3;M047;4;388;387;373;0;;
E0203;Southern Europe;Greek;0;0;Human Resources;3;52465;10/11/2020;;2;M010;5;27;224;362;1;0;Restructuring
E0204;Southern Europe;Italian;0;0;Sales;2;37111;30/10/2021;;2;M026;5;325;254;289;0;;
E0205;Anglophone Americas;English;0;0;Human Resources;3;58397;06/03/2019;02/04/2024;4;M020;7;404;306;287;0;;
E0206;Francophone Europe;French;0;0;Sales;1;26343;29/03/2022;17/03/2025;3;M027;10;227;208;24;0;;
E0207;Lusophone Europe;Portuguese;1;1;Finance;1;29360;29/04/2015;21/09/2020;4;M004;6;336;305;319;0;;
E0208;Lusophone Europe;Portuguese;0;0;Human Resources;3;48779;25/06/2020;;2;M031;12;376;308;325;0;;
E0209;Francophone Europe;French;1;1;Research & Development;4;59887;25/06/2017;;4;M018;9;22;192;414;1;10;Better Opportunity
E0210;Southern Europe;Spanish;1;1;Sales;3;45925;23/03/2019;;3;M014;10;284;242;397;0;;
E0211;Lusophone Europe;Portuguese;0;0;IT;5;102737;18/04/2021;;4;M020;4;305;278;333;0;;
E0212;Central Europe;Czech;1;1;Research & Development;4;69792;23/09/2021;;3;M009;3;344;242;197;1;10;Lack of Growth
E0213;Lusophone Americas;Portuguese;1;1;IT;2;37522;14/07/2022;;3;M011;11;33;311;367;0;;
E0214;Central Europe;German;0;0;Sales;3;47077;03/07/2017;;3;M022;8;358;32;382;0;;
E0215;Lusophone Europe;Portuguese;0;0;Research & Development;2;41351;13/04/2019;;3;M010;5;396;355;445;0;;
E0216;Lusophone Americas;Portuguese;0;0;Finance;2;39891;07/07/2018;;1;M018;6;342;309;31;0;;
E0217;Lusophone Europe;Portuguese;1;1;Finance;2;35750;04/06/2015;;4;M001;8;323;248;345;0;;
E0218;Francophone Europe;French;1;1;Operations;3;49497;06/05/2018;;3;M034;12;321;252;332;0;;
E0219;Lusophone Americas;Portuguese;1;1;Finance;1;27133;15/05/2017;;3;M011;4;272;283;439;0;;
E0220;Lusophone Europe;Portuguese;0;0;Human Resources;3;53916;22/03/2015;12/05/2016;3;M025;4;374;299;323;0;;
E0221;Central Europe;Czech;1;1;Human Resources;3;47901;15/07/2016;;4;M033;12;318;298;366;1;10;Lack of Growth
E0222;Francophone Europe;French;1;1;Finance;4;63630;18/08/2017;20/11/2021;2;M008;12;341;297;315;1;10;Inclusion Issues
E0223;Lusophone Americas;Portuguese;1;1;Sales;1;25836;11/06/2015;;3;M044;8;298;276;402;1;10;Lack of Growth
E0224;Francophone Europe;French;0;0;Sales;4;60635;04/11/2018;31/07/2021;3;M030;7;265;266;274;0;;
E0225;Anglophone Americas;English;1;1;Human Resources;5;84234;16/08/2021;;3;M029;5;254;189;264;0;;
E0226;Central Europe;German;1;1;Finance;2;34935;20/02/2015;;4;M050;12;236;208;305;0;;
E0227;Southern Europe;Greek;0;0;IT;3;50138;24/02/2023;11/08/2024;4;M042;9;386;4;394;1;0;Restructuring
E0228;Lusophone Europe;Portuguese;0;0;Human Resources;3;49761;17/09/2018;;2;M015;11;307;254;3;0;;
E0229;Lusophone Europe;Portuguese;1;1;Sales;1;27284;25/02/2016;;1;M036;3;361;27;409;0;;
E0230;Lusophone Europe;Portuguese;0;0;Sales;4;75318;05/02/2020;21/11/2024;4;M031;8;334;297;316;0;;
E0231;Francophone Europe;French;1;1;Sales;2;30801;03/11/2016;;4;M048;9;374;367;384;0;;
E0232;Lusophone Europe;Portuguese;0;0;Human Resources;3;46340;06/02/2022;;3;M050;10;457;366;358;0;;
E0233;Other;Arabic;1;1;Finance;4;59273;26/12/2016;;2;M009;4;224;232;384;1;0;Contract End
E0234;Central Europe;Polish;1;1;Sales;2;33128;07/11/2022;;3;M045;11;26;269;279;0;;
E0235;Lusophone Europe;Portuguese;0;0;IT;1;26960;17/07/2022;12/01/2024;3;M045;8;329;239;279;0;;
